trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-112.01511758367586,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-153.21646697354967,"{0: 13, 1: 0, 2: 1, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.85}",20,0,-68.62683769119064,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8}",20,0,-134.45514232462682,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.75}",25,8,-123.39621934618202,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.7}",25,0,-89.96570893938932,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-156.96059008385635,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6}",25,0,-97.98589326140372,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.55}",20,0,18.82739184269434,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5}",25,6,-31.760715377942347,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,-52.28125576819377,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.3999999999999999}",30,15,-55.14649975013771,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.35}",25,13,6.7381141059654075,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-32.452657517680784,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.25}",25,0,3.34285652734639,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,3.7098249298392187,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,12,14.039358316729944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,0,24.888116502688135,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.04999999999999993}",30,0,38.07331219724267,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",30,0,32.537783769292595,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-20.71669053239984,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,-2.0976723301226876,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,30.842192713367435,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,13,-28.382187056584748,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,12,32.01769374572672,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-8.233438554283152,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,22,15.676383327772458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,20.45443254790622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,14,20.787298331480528,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-29.682645934995605,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",20,0,-57.32948980531329,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
12,True,"{'a': 0, 'e': 0}",20,0,25.920818902599898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,27.686006834540365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,10,-30.242273836271735,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,True,"{'a': 0, 'e': 0}",20,0,-0.7047642393560056,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,9,-4.605786834858943,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,0,29.74201154152739,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,11,29.66777491877159,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,0,7.436707662523159,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,7,-14.153622052754104,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
