/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'forward', 'left')
 -- forward : 0.07
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left')
 -- forward : 0.00
 -- None : 0.39
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.17
 -- left : 0.00

('left', 'red', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -10.14

('right', 'green', 'left', 'right')
 -- forward : -0.01
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'forward')
 -- forward : 1.68
 -- None : 0.00
 -- right : 0.05
 -- left : 0.60

('forward', 'red', 'forward', None)
 -- forward : -4.74
 -- None : 0.00
 -- right : 1.03
 -- left : 0.00

('forward', 'green', None, 'left')
 -- forward : 1.84
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', 'forward')
 -- forward : -19.53
 -- None : 0.00
 -- right : 0.00
 -- left : -20.02

('right', 'red', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.28
 -- left : -20.45

('right', 'green', None, None)
 -- forward : 0.46
 -- None : -2.35
 -- right : 2.13
 -- left : 0.66

('right', 'green', 'left', None)
 -- forward : -0.08
 -- None : -0.04
 -- right : 0.00
 -- left : 1.13

('left', 'green', 'forward', None)
 -- forward : 0.58
 -- None : 0.00
 -- right : 0.00
 -- left : -9.82

('left', 'green', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.90
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.41

('forward', 'red', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'forward')
 -- forward : -30.06
 -- None : 1.72
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'left', 'left')
 -- forward : 0.58
 -- None : 0.40
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'right')
 -- forward : 0.86
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'left')
 -- forward : 0.00
 -- None : -2.40
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, None)
 -- forward : -7.43
 -- None : 1.37
 -- right : 0.85
 -- left : -7.28

('right', 'red', None, None)
 -- forward : -7.31
 -- None : 1.72
 -- right : 1.23
 -- left : -22.22

('right', 'green', None, 'forward')
 -- forward : 0.78
 -- None : -4.51
 -- right : 1.88
 -- left : 0.85

('left', 'red', None, 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.10
 -- left : 0.00

('left', 'green', 'left', None)
 -- forward : 0.00
 -- None : 0.08
 -- right : 0.06
 -- left : 0.00

('forward', 'green', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'left')
 -- forward : 0.00
 -- None : -2.07
 -- right : 1.59
 -- left : 0.00

('left', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 1.16
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'right')
 -- forward : -5.41
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'right')
 -- forward : -5.12
 -- None : 0.00
 -- right : 2.24
 -- left : -5.26

('forward', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None)
 -- forward : 1.93
 -- None : 0.00
 -- right : 0.38
 -- left : 0.76

('forward', 'red', 'forward', 'left')
 -- forward : -4.96
 -- None : 0.00
 -- right : 0.55
 -- left : 0.00

('forward', 'green', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.40
 -- left : 0.00

('right', 'red', None, 'forward')
 -- forward : -20.34
 -- None : 1.98
 -- right : -10.28
 -- left : 0.00

('right', 'red', 'left', None)
 -- forward : -5.15
 -- None : 0.65
 -- right : 1.15
 -- left : -7.14

('forward', 'red', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', None)
 -- forward : -22.62
 -- None : 2.30
 -- right : 0.60
 -- left : -8.33

('forward', 'green', 'forward', None)
 -- forward : 1.55
 -- None : -2.26
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.06
 -- left : 1.34

('forward', 'green', 'forward', 'forward')
 -- forward : 1.55
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.71
 -- left : 0.00

('right', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -14.59

('forward', 'red', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -23.24

('left', 'green', None, 'forward')
 -- forward : 0.17
 -- None : -3.17
 -- right : 0.70
 -- left : 0.57

('forward', 'green', 'left', 'left')
 -- forward : 1.78
 -- None : 0.01
 -- right : 0.00
 -- left : -0.11

('left', 'green', None, 'right')
 -- forward : 0.00
 -- None : -2.18
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'forward')
 -- forward : 0.52
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.46
 -- left : 0.00

('forward', 'green', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'forward')
 -- forward : 0.00
 -- None : 1.08
 -- right : 0.00
 -- left : 0.21

('right', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -9.91
 -- left : 0.00

('forward', 'green', 'forward', 'left')
 -- forward : 1.44
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.87
 -- left : 0.00

('left', 'red', 'forward', 'left')
 -- forward : -4.93
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'forward')
 -- forward : 0.00
 -- None : 2.07
 -- right : 0.00
 -- left : -20.16

('forward', 'red', 'left', 'left')
 -- forward : -4.98
 -- None : 1.11
 -- right : -0.06
 -- left : -20.36

('left', 'red', 'right', 'forward')
 -- forward : -20.27
 -- None : 0.00
 -- right : -10.46
 -- left : 0.00

('left', 'green', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.86
 -- left : 0.00

('right', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.59
 -- left : -5.28

('left', 'red', 'left', 'right')
 -- forward : 0.00
 -- None : 0.95
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', None)
 -- forward : 0.74
 -- None : 0.00
 -- right : 0.00
 -- left : -9.53

('left', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.10
 -- left : 0.00

('left', 'red', 'forward', None)
 -- forward : -9.41
 -- None : 1.18
 -- right : 0.64
 -- left : 0.00

('forward', 'green', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.28
 -- left : 0.00

('right', 'red', 'forward', None)
 -- forward : -5.49
 -- None : 0.00
 -- right : 0.62
 -- left : 0.00

('left', 'red', 'left', None)
 -- forward : -17.03
 -- None : 1.55
 -- right : -0.21
 -- left : -5.43

('right', 'green', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'left')
 -- forward : 0.00
 -- None : -2.82
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, None)
 -- forward : -20.13
 -- None : 0.89
 -- right : 0.57
 -- left : -9.46

('right', 'red', 'forward', 'right')
 -- forward : -5.42
 -- None : 0.00
 -- right : 0.00
 -- left : -4.78

('right', 'red', None, 'left')
 -- forward : -5.43
 -- None : 1.46
 -- right : 0.00
 -- left : -4.55

('left', 'green', 'forward', 'forward')
 -- forward : 0.09
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'left')
 -- forward : -5.23
 -- None : 0.00
 -- right : 0.87
 -- left : -4.97

('forward', 'green', 'left', None)
 -- forward : 0.00
 -- None : 0.56
 -- right : 0.00
 -- left : 0.26

('right', 'green', 'forward', None)
 -- forward : 0.37
 -- None : 0.00
 -- right : 0.00
 -- left : -9.86

('right', 'red', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -19.65

('left', 'red', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -7.84

('forward', 'red', 'right', None)
 -- forward : 0.00
 -- None : 0.51
 -- right : 0.00
 -- left : -19.58

('left', 'green', None, None)
 -- forward : 0.38
 -- None : 0.00
 -- right : 0.28
 -- left : 1.19

