trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-183.39727696836925,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.7071067811865475}",30,0,-131.0282267632916,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.5773502691896258}",35,0,-145.21599506683202,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.5}",25,12,-57.66023709405564,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 0}",1
5,False,"{'a': 0.7, 'e': 0.4472135954999579}",20,0,-64.74172736815915,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.4082482904638631}",25,6,-34.36000544809009,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.3779644730092272}",20,0,8.556914102885873,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.35355339059327373}",25,0,-15.423253872247802,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.3333333333333333}",25,0,-55.45295622633133,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.31622776601683794}",20,2,-50.31328484787585,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.7, 'e': 0.30151134457776363}",30,0,-87.42154379631305,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.2886751345948129}",20,0,-51.35146779126128,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.2773500981126146}",25,0,-29.84960664356406,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.2672612419124244}",20,0,28.86718088483871,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.2581988897471611}",20,2,16.16739196075661,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.25}",20,0,-40.4720948557489,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.24253562503633297}",20,0,29.00977648836156,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.23570226039551587}",20,0,-25.00557401979479,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.22941573387056174}",20,6,-60.22684911577575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.7, 'e': 0.22360679774997896}",25,18,10.623168977080098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.2182178902359924}",30,0,23.735143382442992,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.21320071635561041}",20,6,15.27106427969235,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.20851441405707477}",25,8,-9.790293295680396,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.7, 'e': 0.20412414523193154}",35,0,-20.16589717124159,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.2}",35,21,15.437297273040958,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.19611613513818404}",25,13,-0.8994892436446054,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.19245008972987526}",20,4,-13.131225131989982,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.1889822365046136}",25,11,26.29632517135905,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.18569533817705186}",30,13,31.218262260800493,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.18257418583505536}",30,5,-82.80541011315874,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",1
31,False,"{'a': 0.7, 'e': 0.1796053020267749}",35,17,-32.575084399330805,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.7, 'e': 0.17677669529663687}",20,13,12.46164836811061,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.17407765595569785}",20,0,21.05251545447104,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.17149858514250882}",25,18,12.023322346107502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.1690308509457033}",20,14,-10.509113188968888,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.16666666666666666}",30,0,-82.2127298330602,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.1643989873053573}",25,9,16.782226901412646,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.16222142113076254}",20,4,-49.740782263502645,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
39,False,"{'a': 0.7, 'e': 0.16012815380508713}",20,10,15.794979131504006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.15811388300841897}",20,14,9.502580609472552,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.15617376188860607}",20,9,16.60357336943118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.1543033499620919}",25,9,8.317960969196132,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.15249857033260467}",25,0,-12.890279668153028,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.15075567228888181}",20,8,23.494789792369083,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.14907119849998599}",30,0,8.535419101347884,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.14744195615489714}",25,0,17.48410458577314,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.7, 'e': 0.14586499149789456}",20,12,16.799201819359524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.14433756729740646}",30,18,24.07354096542773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.14285714285714285}",35,14,13.237323402796852,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.1414213562373095}",30,12,1.1209656190818866,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.14002800840280097}",30,23,9.249726068535974,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.1386750490563073}",20,13,13.048018709712597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.13736056394868904}",25,17,-28.844498401418647,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.7, 'e': 0.13608276348795434}",35,25,12.306512437392483,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.13483997249264842}",35,17,33.36491812725929,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.1336306209562122}",30,6,21.227392519332003,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
