trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.0}",30,0,-204.8237769991104,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.0, 'e': 0.0}",25,0,-22.796794340429493,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.0, 'e': 0.0}",20,0,-228.4184814127751,"{0: 6, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.0, 'e': 0.0}",20,0,-75.14888320914532,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.0, 'e': 0.0}",25,0,-159.980822551855,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.0, 'e': 0.0}",25,0,-124.8027853536683,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.0, 'e': 0.0}",25,0,-60.97155475840969,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.0, 'e': 0.0}",20,0,-61.27342314242403,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.0, 'e': 0.0}",25,0,-169.0208429376853,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.0, 'e': 0.0}",20,0,-50.33135931819188,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.0, 'e': 0.0}",25,0,-228.66824539187837,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
12,False,"{'a': 0.0, 'e': 0.0}",25,0,-45.43384869838833,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.0, 'e': 0.0}",30,0,-215.25723931384056,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.0, 'e': 0.0}",20,0,-133.44871254323922,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.0, 'e': 0.0}",30,0,-109.43162464349741,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.0, 'e': 0.0}",20,0,-57.99755822340632,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.0, 'e': 0.0}",20,0,-175.94773145780334,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.0, 'e': 0.0}",35,14,-101.89402735778312,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
19,False,"{'a': 0.0, 'e': 0.0}",20,0,-152.35014556370106,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.0, 'e': 0.0}",20,0,-79.0489973255605,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-130.7108773065917,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-174.97605202075516,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-179.8354395709815,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-126.33245142908896,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-201.08479732519783,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,13,-17.542335338272604,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-74.17083265408296,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-150.05917477868184,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.33550069783267,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-265.7473118677285,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
