trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-111.89496104654083,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-173.56939264164308,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,9,-33.78761861013386,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-100.60236180391789,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,18,-10.727514469457564,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-30.117657109093074,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,2,-197.25910835448985,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 4}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-126.60324694367289,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-82.96477597856762,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-110.64006417372312,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-161.31904570506515,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-22.851172820089573,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-6.098151801590857,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-41.12440305293702,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-94.8572816565553,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-71.68379507955626,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-151.92214732511977,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-3.8388301759233956,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,2.037195073245755,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-33.49685270862494,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-24.995277704520653,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-143.49058056321377,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",30,10,-44.59350846771774,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-29.156317574090107,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-183.797112623701,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",20,0,-78.28634539634301,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-52.872521151120715,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-161.6024048898569,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",25,0,11.945365355471546,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-38.91148782153053,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
