trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.29124865007674,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-134.42927880303776,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.3333333333333333}",30,0,-96.57324331252428,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.25}",30,0,-242.471696343629,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.2}",30,0,-167.0464403811076,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.16666666666666666}",25,0,-36.259468892561955,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,0,-174.7551201708926,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.125}",25,0,-73.6754785684885,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,16.787306880712304,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.1}",20,0,-69.15337106409432,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",20,16,6.329326203251762,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",20,0,-88.92564818783917,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",20,0,-22.78861109879845,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.07142857142857142}",20,0,-61.80166943767132,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.06666666666666667}",35,0,-66.00361263344402,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.0625}",20,0,16.30629414277205,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.058823529411764705}",20,0,-81.38943635367825,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.05555555555555555}",20,0,-51.523217795539864,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",20,0,3.5181138280407183,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.05}",25,0,12.281081053181257,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.047619047619047616}",20,0,-7.076716331816183,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.045454545454545456}",25,3,-21.05632219136707,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.043478260869565216}",20,0,12.97653830454508,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.041666666666666664}",20,9,-0.36590768775470006,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.04}",20,0,-35.93202172078273,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.038461538461538464}",30,19,5.087039073174401,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.037037037037037035}",20,0,-16.91383133837885,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.03571428571428571}",25,10,27.34827400825114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.034482758620689655}",30,0,-33.136245196920854,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.03333333333333333}",20,0,-33.813891068498336,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.03225806451612903}",25,0,-25.157341229983142,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.03125}",30,21,2.3945279311018077,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.030303030303030304}",20,0,-28.56045335262957,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
